Torque [Nm],DC Current [A],Speed [rpm]
45,130,1000
35,100,1000
24,75,1000
13,50,1000
3,27,1000
62,161,950
61,159,950
62,160,950
62,161,950
57,147,950
46,120,950
35,94,950
24,69,950
13,45,950
5,23,950
66,161,900
67,162,900
66,161,900
66,160,900
61,149,900
50,122,900
39,96,900
27,72,900
16,48,900
5,25,900
69,156,850
70,157,850
70,158,850
69,157,850
67,151,850
55,124,850
43,99,850
31,75,850
19,51,850
8,29,850
71,151,800
71,151,800
71,150,800
71,150,800
71,150,800
60,126,800
47,101,800
35,77,800
23,54,800
12,33,800
78,154,750
79,155,750
79,154,750
79,156,750
75,147,750
62,122,750
49,97,750
36,73,750
24,50,750
12,29,750
84,154,700
84,154,700
83,154,700
84,155,700
78,138,700
64,108,700
51,94,700
38,71,700
25,48,700
12,27,700
89,152,650
89,152,650
89,152,650
88,152,650
81,138,650
68,115,650
54,90,650
40,65,650
26,48,650
13,28,650
95,152,600
96,152,600
97,154,600
97,153,600
85,133,600
70,110,600
56,88,600
42,65,600
28,46,600
14,27,600
106,156,550
107,157,550
107,157,550
100,146,550
86,124,550
71,103,550
57,83,550
43,63,550
28,43,550
14,25,550
117,159,500
117,159,500
115,156,500
101,136,500
87,116,500
73,97,500
59,78,500
44,59,500
29,40,500
15,23,500
128,160,450
128,159,450
117,144,450
103,125,450
89,107,450
75,89,450
60,71,450
45,54,450
30,37,450
16,21,450
142,162,400
131,148,400
118,131,400
105,115,400
91,98,400
76,81,400
61,65,400
47,50,400
32,35,400
17,20,400
145,148,350
132,132,350
119,117,350
105,102,350
91,87,350
77,73,350
63,59,350
48,45,350
32,31,350
18,18,350
149,132,300
136,118,300
122,104,300
108,90,300
93,77,300
79,64,300
63,51,300
48,38,300
33,26,300
17,15,300
151,117,250
138,104,250
124,91,250
110,79,250
95,67,250
80,55,250
65,44,250
49,33,250
33,23,250
18,13,250
155,101,200
142,90,200
127,78,200
113,67,200
97,56,200
82,46,200
66,37,200
50,27,200
33,18,200
17,10,200
160,84,150
146,73,150
131,63,150
116,54,150
100,45,150
84,36,150
67,28,150
50,21,150
33,14,150
17,7,150
164,66,100
149,57,100
134,49,100
118,41,100
102,33,100
85,26,100
68,20,100
51,15,100
33,9,100
16,5,100
165,56,75
150,48,75
135,41,75
119,34,75
102,27,75
85,21,75
68,16,75
51,11,75
33,7,75
3,0.6,75
168,46,50
153,39,50
138,32,50
121,27,50
104,21,50
88,16,50
55,9,50
28,4,50
4,1,50
3,0.5,50
174,35,25
164,30,25
158,27,25
157,27,25
128,19,25
96,12,25
63,7,25
29,3,25
2,0.16,25
3,0.2,25
